district,status,balcony,area_kitchen,area_living,area,room,floor,price,age
5.0,3.0,0.0,16.0,42.0,120.0,3,2,27000,3
2.0,3.0,2.0,16.0,42.0,120.0,3,1,30800,3
5.0,2.0,1.0,16.0,42.0,60.0,1,12,23100,3
5.0,2.0,1.0,11.0,25.0,39.0,1,6,15400,3
5.0,2.0,1.0,16.0,42.0,60.0,2,12,23100,3
3.0,2.0,0.0,15.0,25.0,49.0,1,4,16000,3
5.0,2.0,0.0,9.0,27.0,44.0,2,1,14500,3
4.0,2.0,0.0,15.0,27.0,43.0,2,1,12000,3
2.0,3.0,0.0,16.0,42.0,107.0,4,3,23100,3
4.0,1.0,0.0,16.0,42.0,60.0,3,9,10000,3
1.0,3.0,0.0,16.0,42.0,80.0,2,1,19500,3
3.0,3.0,0.0,16.0,42.0,80.0,2,3,25000,3
6.0,1.0,0.0,15.0,27.0,25.0,1,3,9000,3
1.0,3.0,0.0,16.0,42.0,175.0,4,4,46200,3
3.0,3.0,1.0,18.0,33.0,73.0,2,6,34600,3
3.0,3.0,0.0,16.0,42.0,80.0,2,3,27000,3
3.0,3.0,1.0,15.0,27.0,45.0,1,2,13500,3
4.0,3.0,3.0,15.0,42.0,86.0,2,9,25000,3
1.0,2.0,0.0,10.0,30.0,60.0,2,1,12000,2
2.0,3.0,0.0,15.0,39.0,50.0,2,1,15000,3
3.0,1.0,1.0,15.0,27.0,38.0,1,5,9500,1
3.0,2.0,1.0,18.0,42.0,78.0,2,5,30800,3
3.0,3.0,0.0,16.0,42.0,70.0,2,8,20000,3
6.0,2.0,0.0,16.0,42.0,60.0,3,5,11000,3
6.0,2.0,0.0,15.0,27.0,42.0,2,2,11000,3
4.0,2.0,0.0,15.0,39.0,50.0,1,8,13500,3
2.0,3.0,0.0,15.0,27.0,45.0,1,2,19300,3
2.0,3.0,1.0,15.0,53.0,78.0,3,1,23100,2
5.0,2.0,0.0,15.0,39.0,58.0,1,12,23100,3
1.0,2.0,0.0,15.0,39.0,50.0,2,2,13000,3
2.0,3.0,0.0,16.0,42.0,75.0,3,1,28900,3
6.0,1.0,0.0,15.0,27.0,31.0,2,2,9500,3
3.0,3.0,1.0,15.0,39.0,58.0,2,1,21200,3
4.0,2.0,0.0,15.0,27.0,45.0,1,21,23100,3
2.0,3.0,0.0,16.0,42.0,60.0,2,6,19300,3
6.0,2.0,1.0,9.0,27.0,44.0,1,2,15000,3
5.0,1.0,1.0,15.0,39.0,50.0,2,3,7000,1
3.0,3.0,0.0,15.0,39.0,57.0,1,5,23100,3
4.0,2.0,0.0,16.0,42.0,68.0,3,1,13500,1
5.0,2.0,0.0,11.0,39.0,59.0,2,2,15400,3
3.0,3.0,1.0,15.0,39.0,50.0,2,7,22000,3
5.0,1.0,0.0,6.0,13.0,23.0,1,9,8500,1
4.0,2.0,0.0,11.0,20.0,42.0,1,3,9500,3
6.0,2.0,0.0,16.0,42.0,62.0,2,5,25000,3
6.0,2.0,2.0,16.0,42.0,70.0,3,3,14000,1
2.0,3.0,0.0,16.0,42.0,95.0,3,3,18500,3
