district,wall_material,status,balcony,area_kitchen,area_living,area,room,floor,superficiality,type_build,price
Сихівський,nan, відмінний,nan,5,35,40,1,1,9,nan,11600
Шевченківський,nan,nan,1,nan,nan,52,2,9,9,nan,9000
Франківський,nan,nan,2,nan,nan,62,2,4,5,nan,15400
Галицький, цегла, люкс,nan,nan,nan,22,1,2,3, Австрійський люкс,14000
Галицький,nan, люкс,nan,nan,nan,22,1,3,4, Польський,5500
Шевченківський, цегла, відмінний,nan,5,18,29,1,3,9, Готелька,8000
Шевченківський, цегла, люкс,1,15,nan,48,1,11,12,nan,23100
Франківський, цегла, відмінний,nan,12,30,55,2,4,4, Польський,17300
Франківський,nan,nan,nan,nan,nan,45,1,3,12,nan,17000
Личаківський, керамічний блок, відмінний,1,nan,nan,50,2,6,9,nan,12500
Галицький, цегла, відмінний,1,6,20,35,1,2,4, Австрійський,19300
Шевченківський,nan, відмінний,1,20,16,54,1,2,9,nan,15500
Личаківський, цегла, відмінний,1,nan,nan,54,1,3,6,nan,18000
Шевченківський, цегла, середній,nan,nan,nan,25,1,2,9,nan,8000
Шевченківський,nan,nan,nan,nan,nan,53,1,7,10,nan,19300
Шевченківський,nan, відмінний,nan,nan,nan,78,2,5,7,nan,30800
Личаківський, цегла, люкс,1,15,nan,52,2,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський,nan,nan,nan,25,15,45,1,8,9,nan,17300
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan, відмінний,nan,nan,nan,83,2,4,10,nan,34600
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,12000
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Шевченківський, цегла, люкс,1,nan,nan,70,2,3,10,nan,25000
Шевченківський, цегла, середній,1,7,20,34,1,3,8, Чешка,8000
Залізничний,nan, відмінний,1,nan,nan,40,1,3,5,nan,11500
Галицький, цегла, середній,nan,nan,nan,55,3,1,4,nan,12000
Залізничний,nan, відмінний,nan,nan,nan,40,1,3,5,nan,11500
Шевченківський, цегла, відмінний,1,14,20,48,1,6,9,nan,13500
Шевченківський, цегла, відмінний,nan,7,13,29,1,6,9,nan,12500
Галицький,nan, люкс,nan,45,62,90,2,2,3, Польський,38500
Залізничний,nan,nan,nan,nan,nan,60,2,3,4,nan,13000
Сихівський,nan,nan,nan,nan,nan,55,1,2,9,nan,3000
Шевченківський,nan,nan,nan,nan,nan,40,1,4,10,nan,17300
Залізничний,nan, відмінний,nan,nan,nan,55,1,1,1,nan,8000
Шевченківський,nan, відмінний,1,12,nan,82,3,1,2, Австрійський,28900
Галицький, цегла, відмінний,2,nan,nan,110,4,2,2,nan,23100
Залізничний, цегла, відмінний,2,nan,nan,92,3,2,10,nan,17000
Сихівський,nan, відмінний,nan,nan,nan,56,1,2,7,nan,13500
Сихівський,nan, відмінний,2,nan,nan,50,1,2,7,nan,19300
Залізничний,nan, відмінний,nan,nan,nan,60,3,4,4,nan,12000
Франківський,nan, люкс,nan,nan,nan,60,1,10,15,nan,23100
Сихівський,nan, відмінний,1,nan,nan,53,1,8,11,nan,13800
Галицький,nan, люкс,1,nan,nan,74,1,4,7,nan,30000
Шевченківський, цегла, відмінний,nan,nan,nan,68,2,10,10,nan,15000
Сихівський,nan, відмінний,nan,nan,nan,50,1,5,25,nan,23100
Шевченківський,nan,nan,nan,nan,nan,43,1,8,9,nan,8000
Шевченківський,nan, відмінний,nan,nan,nan,45,1,4,4,nan,18000
Сихівський,nan, відмінний,1,nan,nan,50,1,10,25,nan,17300
Галицький, цегла, відмінний,nan,20,nan,45,1,3,3, Австрійський,18500
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,36600
Галицький, цегла, відмінний,1,23,45,89,2,2,3, Австрійський люкс,28900
Сихівський,nan, відмінний,1,nan,nan,50,1,10,25,nan,17300
Галицький,nan, відмінний,1,nan,nan,64,2,4,5,nan,19300
Шевченківський, цегла, відмінний,nan,nan,nan,29,1,2,3, Австрійський,8000
Галицький,nan, люкс,nan,nan,nan,135,2,4,4,nan,38500
Франківський,nan,nan,nan,nan,nan,45,1,3,5,nan,11000
Личаківський,nan, люкс,1,nan,nan,92,3,3,7,nan,21200
Личаківський,nan, люкс,1,nan,nan,35,1,3,3, Австрійський,21200
Шевченківський,nan, люкс,1,nan,nan,44,1,3,5,nan,21200
Галицький,nan, відмінний,1,nan,nan,40,1,2,4,nan,19300
Залізничний,nan,nan,nan,6,18,35,1,1,3,nan,6000
Личаківський,nan, відмінний,nan,14,nan,64,2,3,9,nan,21200
Шевченківський, цегла, відмінний,1,35,15,75,1,7,10,nan,18700
Сихівський, цегла, люкс,nan,nan,nan,52,1,8,11,nan,13800
Галицький,nan,nan,1,nan,nan,210,6,3,4, Австрійський,57700
Сихівський, цегла, відмінний,2,15,35,70,2,4,10,nan,23100
Шевченківський,nan,nan,nan,nan,nan,44,1,4,12,nan,21200
Шевченківський,nan, люкс,1,nan,nan,47,1,3,12,nan,23100
Галицький, цегла, відмінний,nan,8,nan,52,3,1,4, Австрійський,12000
Шевченківський,nan, люкс,nan,nan,nan,67,2,5,7,nan,32700
Шевченківський,nan,nan,nan,nan,nan,52,1,8,10,nan,18000
Галицький,nan, відмінний,1,nan,nan,80,3,1,5, Чешка,21000
Галицький,nan,nan,nan,nan,nan,68,2,2,4,nan,28900
Шевченківський,nan,nan,nan,nan,nan,72,2,9,11,nan,23100
Залізничний, цегла, відмінний,1,25,17,42,1,2,10,nan,15000
Шевченківський,nan, люкс,nan,nan,nan,44,1,4,12,nan,21200
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,12000
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Шевченківський, цегла, люкс,1,nan,nan,70,2,3,10,nan,25000
Галицький, цегла, відмінний,nan,20,nan,45,1,3,3, Австрійський,18500
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, люкс,1,nan,nan,50,1,7,10,nan,19300
Галицький, цегла, люкс,1,7,30,46,2,3,5,nan,16000
Шевченківський,nan, люкс,nan,nan,nan,46,1,13,15,nan,25000
Шевченківський,nan,nan,nan,nan,nan,50,1,8,10,nan,15400
Шевченківський,nan, люкс,nan,nan,nan,73,2,6,10,nan,34600
Галицький,nan,nan,nan,nan,nan,78,2,4,4,nan,34600
Франківський,nan, люкс,nan,nan,nan,90,3,6,12,nan,25000
Шевченківський,nan,nan,nan,nan,nan,35,1,6,9,nan,13500
Шевченківський,nan, люкс,nan,nan,nan,40,1,4,10,nan,14000
Франківський, цегла, відмінний,1,15,50,90,3,7,9,nan,42300
Шевченківський,nan, люкс,nan,nan,nan,50,2,4,12, Чешка,16000
Франківський,nan, люкс,nan,nan,nan,40,1,2,3, Австрійський,13500
Шевченківський,nan, люкс,nan,nan,nan,80,2,2,6,nan,27000
Галицький,nan, люкс,nan,nan,nan,100,2,3,3, Австрійський,36600
Галицький,nan, люкс,nan,nan,nan,100,3,8,12,nan,32700
Личаківський,nan, люкс,nan,nan,nan,70,2,3,6,nan,15000
Франківський,nan, люкс,nan,nan,nan,45,1,11,15,nan,17300
Шевченківський,nan, люкс,nan,nan,nan,70,2,4,5,nan,23100
Залізничний,nan,nan,nan,nan,nan,52,2,12,14,nan,13500
Шевченківський,nan, люкс,nan,nan,nan,53,1,7,10,nan,19300
Шевченківський,nan,nan,nan,nan,nan,72,2,8,9,nan,46200
Франківський,nan, люкс,nan,nan,nan,56,2,9,15,nan,21200
Галицький,nan, люкс,nan,nan,nan,42,1,10,12,nan,27000
Франківський,nan, люкс,nan,nan,nan,48,1,9,9,nan,16000
Сихівський,nan, люкс,nan,nan,nan,47,1,8,10,nan,17300
Шевченківський,nan, люкс,nan,nan,nan,52,1,4,10,nan,17000
Галицький, цегла, люкс,1,nan,nan,80,2,3,9,nan,25000
Личаківський, цегла, люкс,1,15,nan,52,2,2,3,nan,19300
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський,nan,nan,nan,25,15,45,1,8,9,nan,17300
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan, відмінний,nan,nan,nan,83,2,4,10,nan,34600
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,12000
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Шевченківський, цегла, люкс,1,nan,nan,70,2,3,10,nan,25000
Франківський, панель, середній,1,6,18,18,3,2,5, Брежнєвка,4000
Шевченківський, цегла, люкс,1,nan,nan,36,1,3,17,nan,15400
Франківський, цегла, люкс,2,16,58,98,2,8,14,nan,25000
Залізничний,nan,nan,nan,nan,nan,40,2,1,1,nan,8000
Шевченківський,nan,nan,nan,nan,nan,56,3,5,9,nan,12000
Франківський, цегла, відмінний,2,12,30,62,2,6,11,nan,16000
Личаківський,nan,nan,nan,nan,nan,30,1,3,3, Будівля старого Львова,7000
Галицький,nan,nan,nan,nan,nan,65,2,2,2,nan,9000
Сихівський,nan,nan,nan,nan,nan,67,3,5,9,nan,13000
Личаківський,nan,nan,nan,nan,nan,32,1,3,9,nan,5700
Личаківський, цегла, люкс,1,nan,nan,130,3,3,5,nan,30800
Личаківський,nan, відмінний,nan,nan,nan,27,1,2,2, Польський,8000
Франківський,nan, середній,nan,nan,nan,45,2,4,5, Хрущовка,11000
Сихівський,nan,nan,nan,nan,nan,50,1,4,10,nan,15400
Залізничний,nan,nan,nan,nan,nan,18,1,1,2,nan,7500
Личаківський,nan, відмінний,nan,nan,nan,45,2,3,5, Хрущовка,10000
Залізничний,nan,nan,nan,nan,nan,56,2,7,10,nan,21200
Залізничний, цегла, відмінний,nan,nan,nan,25,1,2,9, Хрущовка,8000
Залізничний,nan,nan,nan,nan,nan,65,2,9,9,nan,17300
Шевченківський,nan,nan,nan,nan,nan,45,1,3,12,nan,19300
Галицький, цегла, відмінний,1,nan,nan,60,2,2,3, Будівля старого Львова,12000
Шевченківський,nan, відмінний,1,12,nan,70,2,8,17,nan,16000
Сихівський,nan,nan,nan,nan,nan,45,1,6,10,nan,17300
Галицький, цегла, відмінний,nan,7,30,60,2,2,4, Австрійський,13500
Залізничний, цегла, відмінний,1,13,16,43,1,3,5,nan,13500
Франківський,nan,nan,nan,25,15,45,1,8,9,nan,17300
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan, відмінний,nan,nan,nan,83,2,4,10,nan,34600
Сихівський,nan, люкс,1,nan,nan,31,1,5,9,nan,12000
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Шевченківський, цегла, люкс,1,nan,nan,70,2,3,10,nan,25000
Галицький, цегла, відмінний,nan,20,nan,45,1,3,3, Австрійський,18500
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Залізничний, цегла, відмінний,1,13,16,43,1,3,5,nan,13500
Галицький, цегла, люкс,2,20,68,98,2,11,15,nan,27000
Франківський, керамічний блок, відмінний,1,1447,45,90,3,7,9,nan,42300
Галицький, цегла, люкс,nan,nan,nan,59,3,1,5,nan,12000
Шевченківський,nan,nan,nan,nan,nan,54,2,2,3,nan,9000
Шевченківський,nan,nan,nan,nan,nan,46,1,5,9,nan,9000
Франківський,nan,nan,nan,nan,nan,45,1,5,9,nan,11500
Личаківський, цегла, люкс,1,nan,nan,80,2,2,6,nan,19300
Шевченківський, цегла, відмінний,1,10,nan,36,1,3,17,nan,17300
Сихівський,nan,nan,nan,nan,nan,54,2,6,10,nan,17300
Сихівський,nan,nan,nan,nan,nan,45,2,6,10,nan,21200
Шевченківський, цегла, відмінний,4,15,35,55,1,8,15,nan,17300
Личаківський,nan, відмінний,nan,nan,nan,85,3,3,5,nan,27000
