district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
4.0,27300,2,78.0,16,3,3.0,0.0,16.0,41.0
3.0,16000,2,66.0,5,3,2.0,0.0,15.0,40.0
4.0,17550,1,45.0,5,3,2.0,0.0,16.0,26.0
5.0,23400,2,60.0,6,3,2.0,0.0,15.0,39.0
5.0,25350,1,57.0,10,3,2.0,0.0,16.0,27.0
3.0,23400,2,80.0,10,3,3.0,1.0,16.0,41.0
2.0,23400,1,45.0,3,3,3.0,0.0,16.0,26.0
2.0,33150,2,75.0,8,3,3.0,0.0,16.0,41.0
5.0,15000,1,55.0,6,3,2.0,0.0,16.0,27.0
3.0,29250,3,90.0,5,3,3.0,0.0,15.0,54.0
1.0,23000,3,90.0,3,3,2.0,0.0,15.0,54.0
3.0,22000,2,68.0,2,3,2.0,0.0,15.0,40.0
3.0,27300,2,68.0,10,3,3.0,1.0,15.0,40.0
1.0,21450,1,44.0,6,3,3.0,0.0,16.0,26.0
2.0,35000,3,112.0,4,3,3.0,0.0,16.0,56.0
5.0,15600,1,48.0,10,3,2.0,0.0,16.0,26.0
4.0,15000,1,46.0,8,3,2.0,0.0,16.0,26.0
3.0,21450,2,75.0,5,3,2.0,0.0,16.0,41.0
4.0,20000,3,85.0,2,3,2.0,0.0,15.0,53.0
2.0,29250,2,63.0,5,3,3.0,1.0,15.0,39.0
2.0,27300,2,70.0,3,3,3.0,0.0,16.0,40.0
3.0,12500,2,61.0,2,3,2.0,0.0,15.0,39.0
5.0,13650,1,43.0,1,3,2.0,0.0,16.0,26.0
3.0,23400,1,45.0,5,3,3.0,0.0,16.0,26.0
2.0,37050,2,130.0,9,3,3.0,0.0,18.0,47.0
3.0,19500,3,85.0,1,3,2.0,0.0,15.0,53.0
3.0,23400,1,44.0,8,3,2.0,0.0,16.0,26.0
4.0,27300,2,75.0,3,3,3.0,0.0,16.0,41.0
3.0,21450,1,45.0,10,3,3.0,0.0,16.0,26.0
6.0,17000,1,50.0,2,3,2.0,0.0,16.0,27.0
1.0,27300,3,85.0,3,3,3.0,0.0,15.0,53.0
5.0,25350,2,72.0,2,3,3.0,0.0,16.0,40.0
4.0,18000,2,68.0,4,3,2.0,0.0,15.0,40.0
3.0,29250,3,92.0,3,3,3.0,0.0,15.0,54.0
2.0,21450,2,75.0,5,3,3.0,0.0,16.0,41.0
